"id","state_id","name","created_at","updated_at"
52,3901,"Ashkāsham",,
68,3901,"Fayzabad",,
78,3901,"Jurm",,
84,3901,"Khandūd",,
115,3901,"Rāghistān",,
131,3901,"Wākhān",,
72,3871,"Ghormach",,
108,3871,"Qala i Naw",,
54,3875,"Baghlān",,
140,3875,"Ḩukūmatī Dahanah-ye Ghōrī",,
101,3875,"Nahrīn",,
105,3875,"Pul-e Khumrī",,
55,3884,"Balkh",,
65,3884,"Dowlatābād",,
85,3884,"Khulm",,
91,3884,"Lab-Sar",,
97,3884,"Mazār-e Sharīf",,
112,3884,"Qarchī Gak",,
57,3872,"Bāmyān",,
104,3872,"Panjāb",,
102,3892,"Nīlī",,
66,3899,"Farah",,
50,3889,"Andkhoy",,
96,3889,"Maymana",,
71,3870,"Ghazni",,
67,3888,"Fayrōz Kōh",,
121,3888,"Shahrak",,
141,3873,"‘Alāqahdārī Dīshū",,
70,3873,"Gereshk",,
93,3873,"Lashkar Gāh",,
95,3873,"Markaz-e Ḩukūmat-e Darwēshān",,
118,3873,"Sangīn",,
60,3887,"Chahār Burj",,
73,3887,"Ghōriyān",,
74,3887,"Herāt",,
80,3887,"Kafir Qala",,
82,3887,"Karukh",,
88,3887,"Kuhsān",,
90,3887,"Kushk",,
111,3887,"Qarah Bāgh",,
123,3887,"Shīnḏanḏ",,
129,3887,"Tīr Pul",,
135,3887,"Zindah Jān",,
136,3886,"Āqchah",,
63,3886,"Darzāb",,
113,3886,"Qarqīn",,
122,3886,"Shibirghān",,
79,3902,"Kabul",,
99,3902,"Mīr Bachah Kōṯ",,
103,3902,"Paghmān",,
81,3890,"Kandahār",,
124,3879,"Sidqābād",,
87,3878,"Khōst",,
51,3876,"Asadabad",,
138,3876,"Āsmār",,
64,3900,"Dasht-e Archī",,
75,3900,"Imām Şāḩib",,
83,3900,"Khanabad",,
89,3900,"Kunduz",,
114,3900,"Qarāwul",,
98,3891,"Mehtar Lām",,
56,3897,"Baraki Barak",,
139,3897,"Ḩukūmatī Azrah",,
106,3897,"Pul-e ‘Alam",,
58,3882,"Bāsawul",,
77,3882,"Jalālābād",,
94,3882,"Markaz-e Woluswalī-ye Āchīn",,
86,3896,"Khāsh",,
100,3896,"Mīrābād",,
116,3896,"Rūdbār",,
132,3896,"Zaranj",,
107,3880,"Pārūn",,
69,3894,"Gardez",,
120,3877,"Saṟōbī",,
134,3877,"Zaṟah Sharan",,
133,3877,"Zarghūn Shahr",,
59,3881,"Bāzārak",,
61,3895,"Charikar",,
76,3895,"Jabal os Saraj",,
53,3883,"Aībak",,
62,3885,"Chīras",,
92,3885,"Larkird",,
110,3885,"Qal‘ah-ye Shahr",,
117,3885,"Sang-e Chārak",,
119,3885,"Sar-e Pul",,
125,3885,"Tagāw-Bāy",,
128,3885,"Tukzār",,
137,3893,"Ārt Khwājah",,
126,3893,"Taloqan",,
127,3898,"Tarinkot",,
130,3898,"Uruzgān",,
109,3874,"Qalāt",,
153,629,"Banaj",,
154,629,"Bashkia Berat",,
170,629,"Bashkia Kuçovë",,
180,629,"Bashkia Poliçan",,
186,629,"Bashkia Skrapar",,
191,629,"Berat",,
280,629,"Çorovodë",,
219,629,"Kuçovë",,
238,629,"Poliçan",,
242,629,"Rrethi i Beratit",,
253,629,"Rrethi i Kuçovës",,
258,629,"Rrethi i Skraparit",,
273,629,"Ura Vajgurore",,
155,610,"Bashkia Bulqizë",,
165,610,"Bashkia Klos",,
176,610,"Bashkia Mat",,
193,610,"Bulqizë",,
194,610,"Burrel",,
209,610,"Klos",,
236,610,"Peshkopi",,
243,610,"Rrethi i Bulqizës",,
246,610,"Rrethi i Dibrës",,
256,610,"Rrethi i Matit",,
272,610,"Ulëz",,
159,639,"Bashkia Durrës",,
168,639,"Bashkia Krujë",,
185,639,"Bashkia Shijak",,
197,639,"Durrës",,
198,639,"Durrës District",,
203,639,"Fushë-Krujë",,
214,639,"Krujë",,
250,639,"Rrethi i Krujës",,
265,639,"Shijak",,
269,639,"Sukth",,
152,631,"Ballsh",,
157,631,"Bashkia Divjakë",,
160,631,"Bashkia Fier",,
174,631,"Bashkia Mallakastër",,
179,631,"Bashkia Patos",,
196,631,"Divjakë",,
200,631,"Fier",,
201,631,"Fier-Çifçi",,
227,631,"Lushnjë",,
234,631,"Patos",,
235,631,"Patos Fshat",,
241,631,"Roskovec",,
254,631,"Rrethi i Mallakastrës",,
158,621,"Bashkia Dropull",,
164,621,"Bashkia Kelcyrë",,
172,621,"Bashkia Libohovë",,
177,621,"Bashkia Memaliaj",,
183,621,"Bashkia Përmet",,
187,621,"Bashkia Tepelenë",,
204,621,"Gjinkar",,
205,621,"Gjirokastër",,
220,621,"Këlcyrë",,
221,621,"Lazarat",,
225,621,"Libohovë",,
231,621,"Memaliaj",,
240,621,"Përmet",,
270,621,"Tepelenë",,
156,630,"Bashkia Devoll",,
166,630,"Bashkia Kolonjë",,
173,630,"Bashkia Maliq",,
182,630,"Bashkia Pustec",,
192,630,"Bilisht",,
199,630,"Ersekë",,
212,630,"Korçë",,
223,630,"Leskovik",,
226,630,"Libonik",,
228,630,"Maliq",,
230,630,"Mborje",,
237,630,"Pogradec",,
245,630,"Rrethi i Devollit",,
249,630,"Rrethi i Kolonjës",,
275,630,"Velçan",,
278,630,"Voskopojë",,
151,623,"Bajram Curri",,
215,623,"Krumë",,
217,623,"Kukës",,
247,623,"Rrethi i Hasit",,
251,623,"Rrethi i Kukësit",,
169,609,"Bashkia Kurbin",,
171,609,"Bashkia Lezhë",,
178,609,"Bashkia Mirditë",,
218,609,"Kurbnesh",,
222,609,"Laç",,
224,609,"Lezhë",,
229,609,"Mamurras",,
232,609,"Milot",,
261,609,"Rrëshen",,
252,609,"Rrethi i Kurbinit",,
262,609,"Rubik",,
267,609,"Shëngjin",,
175,626,"Bashkia Malësi e Madhe",,
181,626,"Bashkia Pukë",,
188,626,"Bashkia Vau i Dejës",,
202,626,"Fushë-Arrëz",,
211,626,"Koplik",,
239,626,"Pukë",,
255,626,"Rrethi i Malësia e Madhe",,
257,626,"Rrethi i Shkodrës",,
266,626,"Shkodër",,
274,626,"Vau i Dejës",,
279,626,"Vukatanë",,
163,633,"Bashkia Kavajë",,
190,633,"Bashkia Vorë",,
207,633,"Kamëz",,
208,633,"Kavajë",,
213,633,"Krrabë",,
248,633,"Rrethi i Kavajës",,
259,633,"Rrethi i Tiranës",,
260,633,"Rrogozhinë",,
268,633,"Sinaballaj",,
271,633,"Tirana",,
277,633,"Vorë",,
161,634,"Bashkia Finiq",,
162,634,"Bashkia Himarë",,
167,634,"Bashkia Konispol",,
184,634,"Bashkia Selenicë",,
189,634,"Bashkia Vlorë",,
195,634,"Delvinë",,
206,634,"Himarë",,
210,634,"Konispol",,
216,634,"Ksamil",,
233,634,"Orikum",,
244,634,"Rrethi i Delvinës",,
263,634,"Sarandë",,
264,634,"Selenicë",,
276,634,"Vlorë",,
31227,1118,"Adrar",,
31234,1118,"Aoulef",,
31406,1118,"Reggane",,
31450,1118,"Timimoun",,
31243,1119,"Aïn Defla",,
31325,1119,"El Abadia",,
31331,1119,"El Attaf",,
31361,1119,"Khemis Miliana",,
31448,1119,"Theniet el Had",,
31250,1122,"Aïn Temouchent",,
31265,1122,"Beni Saf",,
31329,1122,"El Amria",,
31340,1122,"El Malah",,
31351,1122,"Hammam Bou Hadjar",,
31249,1144,"Aïn Taya",,
31230,1144,"Algiers",,
31254,1144,"Bab Ezzouar",,
31274,1144,"Birkhadem",,
31281,1144,"Bordj el Kiffan",,
31312,1144,"Dar el Beïda",,
31413,1144,"Rouiba",,
31233,1103,"Annaba",,
31267,1103,"Berrahal",,
31323,1103,"Drean",,
31334,1103,"El Hadjar",,
31251,1142,"Aïn Touta",,
31237,1142,"Arris",,
31257,1142,"Barika",,
31258,1142,"Batna",,
31292,1142,"Boumagueur",,
31382,1142,"Merouana",,
31415,1142,"Râs el Aïoun",,
31444,1142,"Tazoult-Lambese",,
31298,1108,"Béchar",,
31229,1128,"Akbou",,
31231,1128,"Amizour",,
31256,1128,"Barbacha",,
31259,1128,"Bejaïa",,
31467,1128,"el hed",,
31339,1128,"El Kseur",,
31344,1128,"Feraoun",,
31421,1128,"Seddouk",,
31275,1114,"Biskra",,
31405,1114,"Oumache",,
31427,1114,"Sidi Khaled",,
31430,1114,"Sidi Okba",,
31461,1114,"Tolga",,
31466,1114,"Zeribet el Oued",,
31263,1111,"Beni Mered",,
31276,1111,"Blida",,
31296,1111,"Boû Arfa",,
31287,1111,"Boufarik",,
31289,1111,"Bougara",,
31290,1111,"Bouinan",,
31301,1111,"Chebli",,
31307,1111,"Chiffa",,
31369,1111,"Larbaâ",,
31377,1111,"Meftah",,
31428,1111,"Sidi Moussa",,
31438,1111,"Souma",,
31278,1116,"Bordj Bou Arreridj",,
31279,1116,"Bordj Ghdir",,
31280,1116,"Bordj Zemoura",,
31327,1116,"El Achir",,
31373,1116,"Mansourah",,
31381,1116,"Melouza",,
31416,1116,"Râs el Oued",,
31241,1104,"Aïn Bessem",,
