"sid","Name","HasLaterality"
"1","Assessment using Aachen Aphasia Test ",NULL
"2","Repair of aneurysm of abdominal aorta ",NULL
"3","Repair of aneurysm of abdominal aorta with graft ",NULL
"4","Endovascular repair of abdominal aortic aneurysm ",NULL
"5","Y graft abdominal Aortic aneurysm ",NULL
"6","Repair of ruptured aneurysm of abdominal aorta with graft ",NULL
"7","Assessment using American Association on Mental Retardation Adaptive Behavior Scale ",NULL
"8","Repair of aortic aneurysm using straight graft ",NULL
"9","Elective repair of suprarenal abdominal aortic aneurysm ",NULL
"10","Y graft of abdominal aortic aneurysm - emergency ",NULL
"11","Drainage of acute apical abscess ",NULL
"12","Repair of aortic aneurysm using bifurcation graft ",NULL
"13","Abdominal aortic aneurysm screening ",NULL
"14","Repair of aneurysm of abdominal aorta with insertion of endovascular stent ",NULL
"15","Tone decay test ",NULL
"16","Termination of pregnancy ",NULL
"17","Excision ",NULL
"18","Abdominoplasty ",NULL
"19","Abdominolipectomy ",NULL
"20","Abdominouterotomy ",NULL
"21","Abrasion procedure ",NULL
"22","Destructive procedure ",NULL
"23","Abdominal paracentesis ",NULL
"24","Abdominal hysterectomy ",NULL
"25","W abdominoplasty ",NULL
"26","Abatacept therapy ",NULL
"27","Abachi wood RAST ",NULL
"28","Assessment using Apraxia Battery for Adults ",NULL
"29","Assessment using Apraxia Battery for Adults Second Edition ",NULL
"30","Assessment using Abbey Pain Scale ",NULL
"31","Reconstruction of lip with Abbe flap ",NULL
"32","McIndoe operation for construction of vagina ",NULL
"33","Insertion of Miller-Abbott tube for intestinal decompression ",NULL
"34","Abbott-Saunders test ",NULL
"35","Reconstruction of lip with Abbe-Estlander flap ",NULL
"36","Assessment using ABCD2 Score for transient ischemic attack ",NULL
"37","Assessment using Movement Assessment Battery for Children Second Edition ",NULL
"38","Assessment using Age, Blood pressure, Clinical features, Duration, Diabetes 2 score ",NULL
"39","Assessment using activities-specific balance confidence scale ",NULL
"40","Assessment using Movement Assessment Battery for Children Checklist Second Edition ",NULL
"41","Procedure to abduct extremity ",NULL
"42","Obstetrical hysterotomy ",NULL
"43","Upper abdominoplasty ",NULL
"44","Abdominosacroperineal pull-through ",NULL
"45","Wavefront analysis ",NULL
"46","Division of aberrant vessel ",NULL
"47","Excision of aberrant tissue of breast ",NULL
"48","Excision of aberrant renal artery ",NULL
"49","Excision of aberrant thyroid tissue ",NULL
"50","Operation on aberrant thyroid tissue ",NULL
"51","Transplantation of aberrant renal artery ",NULL
"52","Transplantation of aberrant renal vein ",NULL
"53","Operation on aberrant adrenal tissue ",NULL
"54","Transection of aberrant renal vessels ",NULL
"55","Aortic bifurcation bypass graft ",NULL
"56","Analysis of arterial blood gases and pH ",NULL
"57","Blood gases, arterial measurement ",NULL
