"vid","Name","created_at","updated_at"
"1","AS03 Adjuvant","2022-08-11 06:24:02","2022-08-11 06:24:02"
"2","anthrax immune globulin","2022-08-11 06:24:02","2022-08-11 06:24:02"
"3","adenovirus, unspecified formulation","2022-08-11 06:24:02","2022-08-11 06:24:02"
"4","anthrax","2022-08-11 06:24:02","2022-08-11 06:24:02"
"5","adenovirus, type 4","2022-08-11 06:24:02","2022-08-11 06:24:02"
"6","adenovirus, type 7","2022-08-11 06:24:02","2022-08-11 06:24:02"
"7","Adenovirus types 4 and 7","2022-08-11 06:24:02","2022-08-11 06:24:02"
"8","cholera, unspecified formulation","2022-08-11 06:24:02","2022-08-11 06:24:02"
"9","Hib, unspecified formulation","2022-08-11 06:24:02","2022-08-11 06:24:02"
"10","influenza, injectable, quadrivalent","2022-08-11 06:24:02","2022-08-11 06:24:02"
"11","Rho(D) - Unspecified formulation","2022-08-11 06:24:02","2022-08-11 06:24:02"
"12","Influenza A monovalent (H5N1), ADJUVANTED-2013","2022-08-11 06:24:02","2022-08-11 06:24:02"
"13","Hib-Hep B","2022-08-11 06:24:02","2022-08-11 06:24:02"
"14","Influenza, injectable,quadrivalent, preservative free, pediatric","2022-08-11 06:24:02","2022-08-11 06:24:02"
"15","meningococcal B, recombinant","2022-08-11 06:24:02","2022-08-11 06:24:02"
"16","meningococcal B, OMV","2022-08-11 06:24:02","2022-08-11 06:24:02"
"17","meningococcal B, unspecified","2022-08-11 06:24:02","2022-08-11 06:24:02"
"18","IPV","2022-08-11 06:24:02","2022-08-11 06:24:02"
"19","influenza, intradermal, quadrivalent, preservative free","2022-08-11 06:24:02","2022-08-11 06:24:02"
"20","HPV9","2022-08-11 06:24:02","2022-08-11 06:24:02"
"21","Influenza, injectable, MDCK, preservative free, quadrivalent","2022-08-11 06:24:41","2022-08-11 06:24:41"
"22","Rabies - IM Diploid cell culture","2022-08-11 06:24:41","2022-08-11 06:24:41"
"23","Rabies - IM fibroblast culture","2022-08-11 06:24:41","2022-08-11 06:24:41"
"24","influenza, recombinant, quadrIvalent,injectable, preservative free","2022-08-11 06:24:41","2022-08-11 06:24:41"
"25","Influenza, injectable, MDCK, quadrivalent, preservative","2022-08-11 06:24:41","2022-08-11 06:24:41"
"26","rabies, unspecified formulation","2022-08-11 06:24:41","2022-08-11 06:24:41"
"27","RIG","2022-08-11 06:24:41","2022-08-11 06:24:41"
"28","influenza, seasonal, injectable","2022-08-11 06:24:41","2022-08-11 06:24:41"
"29","influenza, seasonal, injectable, preservative free","2022-08-11 06:24:41","2022-08-11 06:24:41"
"30","rabies, intradermal injection","2022-08-11 06:24:41","2022-08-11 06:24:41"
"31","rabies, intramuscular injection","2022-08-11 06:24:41","2022-08-11 06:24:41"
"32","novel influenza-H1N1-09","2022-08-11 06:24:41","2022-08-11 06:24:41"
"33","novel influenza-H1N1-09, preservative-free","2022-08-11 06:24:41","2022-08-11 06:24:41"
"34","RSV-MAb","2022-08-11 06:24:41","2022-08-11 06:24:41"
"35","RSV-MAb (new)","2022-08-11 06:24:41","2022-08-11 06:24:41"
"36","influenza, injectable, quadrivalent, preservative free","2022-08-11 06:24:41","2022-08-11 06:24:41"
"37","Influenza, injectable, MDCK, preservative free","2022-08-11 06:24:41","2022-08-11 06:24:41"
"38","influenza, recombinant, injectable, preservative free","2022-08-11 06:24:57","2022-08-11 06:24:57"
"39","meningococcal MPSV2","2022-08-11 06:25:17","2022-08-11 06:25:17"
"40","japanese encephalitis, unspecified formulation","2022-08-11 06:25:17","2022-08-11 06:25:17"
"41","meningococcal, unknown serogroups","2022-08-11 06:25:17","2022-08-11 06:25:17"
"42","influenza, trivalent, adjuvanted","2022-08-11 06:25:17","2022-08-11 06:25:17"
"43","lyme disease","2022-08-11 06:25:17","2022-08-11 06:25:17"
"44","DTAP/IPV/HIB - non-US","2022-08-11 06:25:17","2022-08-11 06:25:17"
"45","OPV ,monovalent, unspecified","2022-08-11 06:25:17","2022-08-11 06:25:17"
"46","OPV bivalent","2022-08-11 06:25:17","2022-08-11 06:25:17"
"47","PCV10","2022-08-11 06:25:17","2022-08-11 06:25:17"
"48","OPV, Unspecified","2022-08-11 06:25:17","2022-08-11 06:25:17"
"49","influenza, live, intranasal","2022-08-11 06:25:17","2022-08-11 06:25:17"
"50","Non-US Vaccine COVID-19 PS,  (Anhui Zhifei Longcom Biopharm + Inst of Micro, Chinese Acad of Science","2022-08-11 06:25:18","2022-08-11 06:25:18"
"51","DTaP-IPV","2022-08-11 06:25:24","2022-08-11 06:25:24"
"52","Tdap","2022-08-11 06:25:24","2022-08-11 06:25:24"
"53","DTaP-IPV-HIB-HEP B, historical","2022-08-11 06:25:24","2022-08-11 06:25:24"
"54","DTaP-Hib-IPV","2022-08-11 06:25:24","2022-08-11 06:25:24"
"55","DTaP, unspecified formulation","2022-08-11 06:25:24","2022-08-11 06:25:24"
"56","influenza, split (incl. purified surface antigen)","2022-08-11 06:25:24","2022-08-11 06:25:24"
"57","typhoid, parenteral","2022-08-11 06:25:24","2022-08-11 06:25:24"
"58","typhoid, parenteral, AKD (U.S. military)","2022-08-11 06:25:24","2022-08-11 06:25:24"
"59","DTaP","2022-08-11 06:25:24","2022-08-11 06:25:24"
"60","DTaP, 5 pertussis antigens","2022-08-11 06:25:24","2022-08-11 06:25:24"
"61","DTaP,IPV,Hib,HepB","2022-08-11 06:25:24","2022-08-11 06:25:24"
"62","BCG","2022-08-11 06:25:30","2022-08-11 06:25:30"
"63","Non-US Vaccine COVID-19 IV (CoronaVac, Sinovac)","2022-08-11 06:25:44","2022-08-11 06:25:44"
"64","Non-US Vaccine COVID-19 IV (BIBP, Sinopharm)","2022-08-11 06:25:44","2022-08-11 06:25:44"
"65","Non-US Vaccine COVID-19 IV (QAZCOVID-IN)","2022-08-11 06:25:44","2022-08-11 06:25:44"
"66","Non-US Vaccine COVID-19 IV (COVAXIN)","2022-08-11 06:25:44","2022-08-11 06:25:44"
"67","Tick-borne encephalitis, inactivated, PF, 0.5mL","2022-08-11 06:25:44","2022-08-11 06:25:44"
"68","Tick-borne encephalitis, inactivated, PF, 0.25mL","2022-08-11 06:25:44","2022-08-11 06:25:44"
"69","COV-2 COVID-19 Inactivated Non-US Vaccine Product (Minhai Biotechnology Co, KCONVAC)","2022-08-11 06:25:44","2022-08-11 06:25:44"
"70","staphylococcus bacterio lysate","2022-08-11 06:25:44","2022-08-11 06:25:44"
"71","VEE, inactivated","2022-08-11 06:25:44","2022-08-11 06:25:44"
"72","HepB-CpG","2022-08-11 06:25:54","2022-08-11 06:25:54"
"73","Hep A-Hep B, pediatric/adolescent","2022-08-11 06:25:54","2022-08-11 06:25:54"
"74","DT, IPV adsorbed","2022-08-11 06:25:54","2022-08-11 06:25:54"
"75","Td, adsorbed, preservative free, adult use, Lf unspecified","2022-08-11 06:25:54","2022-08-11 06:25:54"
"76","influenza, high-dose, quadrivalent","2022-08-11 06:25:54","2022-08-11 06:25:54"
"77","DT (pediatric)","2022-08-11 06:25:54","2022-08-11 06:25:54"
"78","COVID-19, D614, recomb, preS dTM, AS03 adjuvant add, PF, 5mcg/0.5mL (Sanofi)","2022-08-11 06:25:59","2022-08-11 06:25:59"
"79","COVID-19, D614, recomb, preS dTM, AS03 adjuvant add, PF, 10mcg/0.5mL (Sanofi)","2022-08-11 06:25:59","2022-08-11 06:25:59"
